,tweet,label,include
0,@USER Grateful I was apart of you are molding process.,1,
1,@USER Haha loser I get a 2 week deer season break,1,
2,@USER Why r you afraid porn will post?,1,
3,@USER I hope the Netflix jokes are better unamused face,1,
4,@USER sounds like @USER is at it again lol,1,
5,@USER do not worry we can all be ignorant together but still back demi up,1,
6,"@USER Only if you think there is nothing else funny about him. Quite deferential that way. Sounds like 'huzoor maaf kar dena par"" :)",1,
7,"@USER If by ""stepping up"" to terrorism you mean going to war with Iraq, then no, I do not want gov to step up and I do not want to pay for it.",1,
8,"@USER Wow, you iron?! Impressed.",1,
9,@USER I think he is a bit of a prick really,1,
10,@USER @USER Congrats! What do you love the most about your new apartment?,1,
11,@USER reality TV has destroyed you.,1,
12,@USER I's pick the salad over the krispy kreme....,1,
13,@USER That is good and I hope you paid the delivery boy in cash and not in slippers,1,
14,"@USER the day SIT filed closure, you had a lot to speak. Why keeping mum now after amicus curiae's report?",1,
15,@USER But your ass is not that fat it is little :3,1,
16,@USER Do you have an NBA team? 76ers perhaps?,1,
17,@USER ...coloreds do not know how to Have a Good time....lol its always some kind of drama...lol,1,
18,@USER it is not the airport it is the 23 january and it is disgusting to post it,1,
19,"@USER I got the impression he became a fuckwit because of all this. He is an .asshole, but it is not entirely his fault... do not know",1,
20,@USER omg you have a job?!,1,
21,"@USER Word of advice, if you record something, try to edit it right away in case re-records are needed.",1,
22,@USER Major League Baseball plays pre-season games every year after opening day of reg season. It is no big deal.,1,
23,@USER I am thinking I am not going to shut the fuck up... So that 's how I roll.,1,
24,@USER I miss the old Greg. I liked your edginess in the past.,1,
25,@USER I mostly try to avoid it because I end up having to pick sides.,1,
26,@USER I hope your not the type I would find passed out on the bathroom floor in the bar. Wait was that you? winking face winking face with tongue,1,
27,"@USER I mean...a haiku is more than just a short poem, so no--but maybe, like, a bite-sized YouTube video? slightly smiling face",1,
28,"@USER Screwed? I thought you were sleeping? Well, *fistbump*",1,
29,@USER I am not sure what the time to do with the fact of the day is not a real big thing for you it is like climbing the Great Wall in my world I am so glad to be back though I am spraying again and I am not going to say it is a all happy hour of time I am not as sad though,1,
30,@USER couple of Pepsi's tonight is it butt,1,
31,@USER thxs to our d coordinator!!! He is a retard!!,1,
32,@USER you are a band wagoner!!,1,
33,@USER MSMs stance is well known. But Frnds of BJP shld wait till court gives it is judgement. Getting provoked wld b counterproductive,1,
34,"@USER The bible also says that slavery is okay, that women should listen to her husband and not disobey him. Look how that turned out.",1,
35,"@USER Ridiculous. I have gotten fairly uninterested in the Games anymore. So much cheating, unfair judging, prejudicial treatment. And then there is Bruce Jenner.",1,
36,@USER Call me when you get up Sexy 985-514-8399,1,
37,@USER Umm... maybe if she felt confident in you without fear of you judging her for her opinions she would have given you her twitter ...,1,
38,"@USER He was a delusional coach as well. ""Dee Milner will be the next Darrelle Revis"" lol yeah right Rex!",1,
39,"@USER Rejection is powerful. ""It feels good to hurt people.""-Ted Bundy",1,
40,@USER you got to boyfriend? or you talking about eric ? lol,1,
41,@USER That will be the day I never have to hear killing me softly again. Cannot wait,1,
42,@USER your slacking with us bbyyy x,1,
43,@USER I thought girls like abusive bad boys. Yeah?,1,
44,@USER work with children that have been abused and then you will understand why,1,
45,@USER Oh dear. Just imagine for a second the kind of 36 year old that would want to date a 21 year old..... probably a creep.,1,
46,@USER @USER No sir. You do not seem to know much about Israelis. They have had enough of the Arabs and they are justified fully in their actions.,1,
47,@USER there is a song in there somewhere!,1,
48,@USER Frontin’? Your tweets read differently love,1,
49,@USER I am not actually looking at you though. So will the next person I see be hired by Danny's?,1,
50,@USER a carrying out of the same by other means. Carl Von Clausewitz,1,
51,@USER I read that ib profen is very bad for the ‘rona?,1,
52,@USER what more could you have asked for?!?! From what I heard he dropped everything,1,
53,"@USER According to prophet Joe Dirt, “it is not what you like it is the consumer” so a Dolphan business (as you eloquently put it) is “doing it” for the fans, ie consumer. Unless non fans are purchasing ponchos w/ weird greenish dolphin flying through the sun.",1,
54,@USER You would not have anyone to hate if your boyfriend just did his job. It is easy for fucks sake:/,1,
55,"@USER am sorry that it is pretty weird, but if You ever get that skint, You are so hot i would pay You for Your old worn tights",1,
56,"@USER Do not be shy, tell us how you really feel! rolling on the floor laughing",1,
57,@USER hoping for the best !! grinning face with sweat,1,
58,@USER - Do not you like going to Japan? I would give anything to be able to go to Japan.,1,
59,"@USER I want to talk about how you spell it yawl, not you all skull pensive face",1,
60,“@USER: i am willing to give the world to you....you just have to accept my offer” aw .. face without mouth thass cute.,1,
61,@USER NO. Your birthday was 40 minutes ago Farhana :B,1,
62,"@USER Volkswagen has the bug not BMW, sugar.",1,
63,@USER lol you might die dude.,1,
64,"[Hashtag] @USER, fellow [Hashtag] fan who does cool things &amp; was actually following me for a while but somehow stopped. Bug him about that.",1,
65,@USER I have no idea what this is,1,
66,@USER you have to be the biggest skinnny dude i know lol.,1,
67,@USER But do you really care about that though? I mean I would not give a damn about them at all...ijs,1,
68,@USER and wus that....knockin out bitches lls...... I heard you the knockout king [Hashtag],1,
69,"@USER Paul is there a reason you use Caps all the time, could you use normal text no offence intended thumbs up",1,
70,@USER omfg I laughing so hard i am crying XD,1,
71,@USER is that your real name,1,
72,@USER but Hillary is not a good choice too. I hate Trump but that does not make her a good candidate,1,
73,@USER @USER the dominant male would be a Kingacrew! The mating ritual: Kingascrew.,1,
74,@USER I do not appreciate asian people using nigga in a sentence I prefer nigger :/,1,
75,@USER what does this mean?,1,
76,"@USER Have not you filled that position by now, you must have had 100s of applicants or are you really really fussy? :)",1,
77,@USER six crappy hours of our lives,1,
78,"@USER I think you mean, obsessive compulsive not perfectionist lol",1,
79,"@USER sorry, but papa john's is better beaming face with smiling eyes beaming face with smiling eyes [Hashtag] person tipping hand",1,
80,"@USER Porn is not so bad, no one dies",1,
81,@USER And no one cares.,1,
82,@USER oh come on! you actually look like a 5 year old. ha ha ha,1,
83,@USER I did not know black men dipped. Thought only white trash guys did that.,1,
84,"@USER darling it was a horrible bill, only rapists keep pushing when the target is saying ""No!"".",1,
85,"@USER (2/2) Besides, I only interested in YOUR opinion, not others who I do not follow. Sorry, but serial RTing grinds my gears. X",1,
86,@USER he believes in scientology. She is smart lol,1,
87,@USER The knowledge—that there is something extraordinarily right with humanity—is what most makes us human: not what we are but what we know about what we are. Fixed it.,1,
88,@USER Who still wear PELLE?!,1,
89,@USER damn girl where you work at the strip club?,1,
