,tweet,label,include
0,@USER see Sista Sue that is your problem stop going after these cats just go about your daily business and the right cat will fall into your lap trust me that is how it works I know what I am talking about.,1,
1,@USER But yet you are a Trump supporter. How does that make any sense?,1,
2,@USER where are you from?,1,
3,@USER I am thirteen and five inches taller than you and I am a GIRL,1,
4,@USER Why r you afraid porn will post?,1,
5,"@USER Course they have, average mortality IS DOWN on years previous worldwide babe, please stop listening to mainstream media, they are poison xx",1,
6,"@USER that spelling of 'shattered' is brilliant, hahaha have not the academy taught you anything;)",1,
7,@USER Ahhh...I see you are a man/women of culture,1,
8,"@USER Please do not get too sucked into fame, you do not need lip fillers, cheek implants and a botox forehead. You are so much better than that thumbs up",1,
9,@USER I think spending more time on the practice table might be more beneficial?,1,
10,@USER They are if they include beans. English brefass starts with beans. Their game is weird..,1,
11,@USER but is that really so bad?,1,
12,“@USER: People who give you shit about shutting a car door too hard need to get fucked.” Nahhhh chill that is rude lol,1,
13,@USER That is ages away!!!! Haha. Cannot beat being born in November,1,
14,@USER This are not very cash money of you,1,
15,@USER Cuz you told her n you keep playing his annoying ass songs,1,
16,@USER Trying to make point to remember those who STILL put their lives on the line for us everyday. Thank them while you can.,1,
17,@USER It is Greek to me.,1,
18,@USER that was not towards you.. It was a joke for someone else. Sorry!,1,
19,"@USER That is kind of rude to say, low blow!!!",1,
20,@USER that is good tea helps out. I do not like tea though but I help I feel better soon,1,
21,@USER i was not even trying to imply all that.,1,
22,"@USER Wow, you iron?! Impressed.",1,
23,@USER Maybe start at not eating students for lunch???,1,
24,@USER Give me some Kylo Ren please.,1,
25,@USER omg seriously just stop. [Hashtag],1,
26,@USER that will learn ya for still being on XP! lol. what dodgy sites were you going to? or dodgy links you been clicking on?,1,
27,@USER because wrestling is not real?,1,
28,@USER Who is 'us'?,1,
29,@USER @USER You have probably found it and lost it because you did not know what it looks like on the outside,1,
30,@USER one more day until the leafs!!! Cannot wait either! [Hashtag],1,
31,@USER Tag me to the video...,1,
32,@USER you do not know who Ghostface is do you? Are you talking about GhostsNStuff?,1,
33,@USER cannot you bowl and drink beers any day of the week?,1,
34,@USER sadly for you or for him?,1,
35,"@USER Angie, there are numerous patents for weather modifications. .gov admits they manipulate weather through seeding. My opinion HAARP also plays big part. Chemtrails are everywhere. Bill Gates wants to block sunlight.",1,
36,"@USER And, is not it wrong to basically say ""thanks for the win, G-d. Glad you like me more than them.""",1,
