,tweet,label,include
0,"@USER I am so sorry, Hang in their. It is not a death sentence slightly smiling face slightly smiling face",1,
1,"@USER Oh come on Alfa, do not be like that! I am totally okay with a second Mint animation! And why does not a second animation would not be considered pushing yourself? It is the same girl but a different movement, how is that not progress? Quit being so harsh on yourself you dummy birb!",1,
2,@USER bitch you ugly lol PUHLEEZ STOP face with tears of joy face with tears of joy face with tears of joy face with tears of joy,1,
3,@USER Dazzling reflection from music teacher's head causes traffic pile up in Spanish City.,1,
4,"@USER Ricky Gervais on xfactor: ""its a modern day Victorian freak show"" Spot on! You should be ashamed of yourself Brighty!",1,
5,@USER YOU GOING TO TWEET EVERYTIME HE GETS A REBOUND?,1,
6,@USER Husband expecting a baby? Well good luck with that!,1,
7,@USER it is quarter after 8 what happened to being a party animal,1,
8,@USER to be fair.. You guys made your private life public? You did a YouTube channel on it?,1,
9,@USER There is no way a married man sent this tweet.....lol!,1,
10,@USER what is good Lil Memphis.,1,
11,@USER really? Um ok.. You are the one that is mad at me for me doing something I did not even mean to do.. So whatever,1,
12,"@USER I think that is a good idea. It is like twilight, cannot criticise properly unless you have read it. ...Did I just say that? D:",1,
13,"@USER I do not mean to be rude. I you had left him, you take half, if you divorce you take half. Just curious about need for prenup",1,
14,"@USER I just saw the word cocks, and then got dissapointed.",1,
15,@USER He said he used WS game balls for bullpen.,1,
16,"@USER ⚘ Yes, we do, and no matter how we try to be good sports about the remarks, pensive face we are not laughing on the inside.",1,
17,@USER @USER Congrats! What do you love the most about your new apartment?,1,
18,@USER Whenever I get upset. I have to instantly shit. Fight or flight?,1,
19,"@USER You can be both, you just have to give in &amp; satisfy you &amp; your mates needs when needed. Being independent does not mean being a bitch. Besides, you are to nice looking not to have yourself a good looking man.",1,
20,@USER guess i am not from inglewood,1,
21,"@USER oh grow up, do you know how many children are killed everyday? just because it happened in the USA suddenly everyone cares?",1,
22,@USER Lol I Am Going To State girl like you?,1,
23,"@USER that is life, man. :)",1,
24,@USER all your tweets are about six packs and black leggings,1,
25,"@USER @USER you just accept it for what it is and you do not even question what you see, pretty simple",1,
26,@USER I am a teacher. Following directions is a skill.Start with 1 to 2 simple directions at a time. If they can do that add a 3rd.,1,
27,@USER There is a button to unfollow on Twitter. you can maybe ummm use that. YOU r welcome.,1,
28,"@USER Seems like self oppression really, if they cannot accept you they arnt real friends, it almost seems like you value external acceptance over self acceptance which should not ever be a thing",1,
29,@USER Soul ties are not real you all just do not know how to stop fucking with niggas that are not good for you,1,
30,@USER Is it me or does the last sentence read as though Trump cares?,1,
31,"@USER It is not that we wish this on anyone. Just a reminder that, that is what we are made to go through and noone bats an eye. Frankly, when we are polite noone gives a damn, trust me noone will care even if we are sarcastic about it. So ""politically correct"" behavior seems redundant. person shrugging",1,
32,"@USER Volkswagen has the bug not BMW, sugar.",1,
33,@USER You did not need to add the word African. American does the trick.,1,
34,@USER I want to see the pussy get worked,1,
35,@USER do not you mean dragon spirit dragon,1,
36,@USER @USER is a great guy. Try listening to his new song [Hashtag] and watching the Spotify video. You might change your mind,1,
37,@USER I know it is depressing but we should be happy for him two hearts,1,
38,@USER @USER You will with that attitude,1,
39,@USER The drugs that are of concern are typically not what you give for headaches. Does not make sense.,1,
40,@USER you do dat alot kiddo&dats not cool..,1,
41,"@USER Look, no hate, but of course you will be disappointed if the only thing you ever seem to give a damn about is smash",1,
42,@USER @USER surely better than not wearing at all :/,1,
43,@USER In my opinion you are kind of underpaying,1,
44,"@USER So are you single, taken, dating or talking?",1,
45,@USER have you seen the josh cribbs episode? Lol,1,
46,@USER I did not call you a bad fan. I was not even talking to you. Get over it.,1,
47,@USER They do not. But it does help the ratings. Remember these news sources are not independent; they need ratings to sell advertising to make a profit.,1,
48,@USER because it was stupid and they are basic and do not live in ca so they are not cool,1,
49,@USER Forget the tackle. This is a shocking display!!,1,
50,@USER why the hate? Average down for sure. Seems to be real good every other year. But still 14 homers to lead the team at SS. Not bad.,1,
51,@USER yes. You are just a snowflake,1,
